NodeID,ParentID,Path,Feature,Operator,Value,Regime,Description
1,,Root,,,,,
2,1,Root→Volatility,Volatility,>,3.0,,
3,2,Root→Volatility→RSI,RSI,<,25,Crash,Extreme panic selling
4,2,Root→Volatility→RSI,RSI,<,20,Flash Crash,Intraday collapse
5,2,Root→Volatility→Volume,Volume,>,95th %ile,Margin Liquidation,Forced selling
6,1,Root→RSI,RSI,>,80,,
7,6,Root→RSI→Momentum,Momentum,>,1.5,Overbought Rally,Euphoric buying
8,6,Root→RSI→Momentum,Momentum,>,2.0,Parabolic Advance,Vertical price rise
9,6,Root→RSI→Divergence,MACD,Has Divergence,True,Blow-Off Top,Reversal imminent
10,1,Root→MACD,MACD,<,-0.5,,
11,10,Root→MACD→Return,Return,<,-0.05,Downtrend,Lower highs/lows
12,10,Root→MACD→Return,Return,<,-0.15,Correction,Temporary pullback
13,10,Root→MACD→Volume,Volume,<,50th %ile,Distribution,Smart money exit
14,1,Root→Volume,Volume,>,90th %ile,,
15,14,Root→Volume→RSI,RSI,<,30,Panic Sell-Off,High volume selling
16,14,Root→Volume→RSI,RSI,>,70,Strong Bullish,High volume breakout
17,14,Root→Volume→ShortInterest,ShortInterest,>,90th %ile,Short Squeeze,Forced buying
18,1,Root→NeutralCheck,Volatility,<,0.5,,
19,18,Root→NeutralCheck→RSI,RSI,45-55,,Neutral,No clear trend
20,18,Root→NeutralCheck→Volatility,Volatility,<,0.3,Consolidation,Tight price range
21,1,Root→SupportBreak,Price,Breaks,Support,,
22,21,Root→SupportBreak→Volume,Volume,>,80th %ile,Bear Trap,False breakdown
23,21,Root→SupportBreak→Volume,Volume,<,60th %ile,False Breakdown,Low conviction
24,1,Root→ResistanceBreak,Price,Breaks,Resistance,,
25,24,Root→ResistanceBreak→Volume,Volume,>,75th %ile,Bull Trap,False breakout
26,24,Root→ResistanceBreak→Volume,Volume,<,50th %ile,False Breakout,Low conviction
27,1,Root→OvernightGap,Open,Gap,>2%,,
28,27,Root→OvernightGap→Volume,Volume,>,70th %ile,Gap Fill,High liquidity
29,27,Root→OvernightGap→Volume,Volume,<,40th %ile,Gap and Go,Low liquidity
30,1,Root→Streak,ReturnStreak,>=,3,,
31,30,Root→Streak→Direction,Return,>,0,Bullish Streak,Sustained buying
32,30,Root→Streak→Direction,Return,<,0,Bearish Streak,Sustained selling
33,1,Root→CandlePattern,LastCandle,Is,Hammer,,
34,33,Root→CandlePattern→Volume,Volume,>,70th %ile,Reversal Signal,High conviction
35,1,Root→Seasonality,Month,==,Dec,Santa Rally,Year-end effect
36,1,Root→Earnings,Event,==,Earnings,,
37,36,Root→Earnings→IV,ImpliedVol,>,90th %ile,Earnings Volatility,Options priced for move
38,1,Root→FED,Event,==,FOMC,,
39,38,Root→FED→Direction,Rates,Up,Hawkish Shock,Negative reaction
40,38,Root→FED→Direction,Rates,Down,Dovish Surprise,Positive reaction
41,1,Root→Divergence,RSI,Diverges,Price,,
42,41,Root→Divergence→Direction,Price,Down,Bullish Divergence,Potential reversal up
43,41,Root→Divergence→Direction,Price,Up,Bearish Divergence,Potential reversal down
44,1,Root→VWAP,Price,>,VWAP,,
45,44,Root→VWAP→Slope,VWAP Slope,Up,Bullish VWAP,Institutional buying
46,1,Root→Liquidation,OIChange,<,-10%,Liquidation Event,Forced positions closed
47,1,Root→DarkPool,DarkPoolPrint,>,90th %ile,Block Accumulation,Smart money flow
48,1,Root→Sentiment,Sentiment,>,90th %ile,Extreme Greed,Contrarian signal
49,1,Root→VIX,VIX,>,30,High Fear,Market stress
50,1,Root→VIX,VIX,<,15,Complacency,Low fear
51,1,Root→YieldCurve,10Y-2Y,<,0,Inversion,Recession signal
